,UF,Ano,clusters
0,Acre,2017,1
1,Acre,2018,1
2,Acre,2019,1
3,Alagoas,2017,1
4,Alagoas,2018,1
5,Alagoas,2019,1
6,Amapá,2017,1
7,Amapá,2018,1
8,Amapá,2019,1
9,Amazonas,2017,1
10,Amazonas,2018,1
11,Amazonas,2019,1
12,Bahia,2017,0
13,Bahia,2018,0
14,Bahia,2019,0
15,Ceará,2017,0
16,Ceará,2018,0
17,Ceará,2019,1
18,Distrito Federal,2017,1
19,Distrito Federal,2018,1
20,Distrito Federal,2019,1
21,Espírito Santo,2017,1
22,Espírito Santo,2018,1
23,Espírito Santo,2019,1
24,Goiás,2017,0
25,Goiás,2018,0
26,Goiás,2019,1
27,Maranhão,2017,0
28,Maranhão,2018,1
29,Maranhão,2019,1
30,Mato Grosso,2017,1
31,Mato Grosso,2018,1
32,Mato Grosso,2019,1
33,Mato Grosso do Sul,2017,1
34,Mato Grosso do Sul,2018,1
35,Mato Grosso do Sul,2019,1
36,Minas Gerais,2017,0
37,Minas Gerais,2018,0
38,Minas Gerais,2019,0
39,Paraná,2017,1
40,Paraná,2018,1
41,Paraná,2019,1
42,Paraíba,2017,1
43,Paraíba,2018,1
44,Paraíba,2019,1
45,Pará,2017,0
46,Pará,2018,0
47,Pará,2019,0
48,Pernambuco,2017,0
49,Pernambuco,2018,0
50,Pernambuco,2019,0
51,Piauí,2017,1
52,Piauí,2018,1
53,Piauí,2019,1
54,Rio Grande do Norte,2017,1
55,Rio Grande do Norte,2018,1
56,Rio Grande do Norte,2019,1
57,Rio Grande do Sul,2017,0
58,Rio Grande do Sul,2018,0
59,Rio Grande do Sul,2019,0
60,Rio de Janeiro,2017,2
61,Rio de Janeiro,2018,2
62,Rio de Janeiro,2019,2
63,Rondônia,2017,1
64,Rondônia,2018,1
65,Rondônia,2019,1
66,Roraima,2017,1
67,Roraima,2018,1
68,Roraima,2019,1
69,Santa Catarina,2017,1
70,Santa Catarina,2018,1
71,Santa Catarina,2019,1
72,Sergipe,2017,1
73,Sergipe,2018,1
74,Sergipe,2019,1
75,São Paulo,2017,2
76,São Paulo,2018,2
77,São Paulo,2019,2
78,Tocantins,2017,1
79,Tocantins,2018,1
80,Tocantins,2019,1
